book_id,title,author_id,categories,published_date,price,stock_quantity
103,Pre-emptive well-modulated data-warehouse,153,Mystery,11/26/2018,7.58,47
104,Realigned tertiary software,597,Mystery,12/16/2020,12.51,16
105,Persistent explicit throughput,43,Science Fiction,1/28/2019,22.03,5
106,Total cohesive customer loyalty,367,Non-Fiction,7/18/2022,36,85
107,Distributed fresh-thinking encryption,106,Science Fiction,5/13/2021,40.32,52
108,Business-focused grid-enabled alliance,636,Romance,10/25/2019,12.79,30
109,Customizable discrete standardization,167,Non-Fiction,2/3/2017,44.77,3
110,Centralized fresh-thinking encryption,184,Romance,4/5/2015,46.67,100
111,Reverse-engineered contextually-based time-frame,422,Romance,6/18/2020,44.01,31
112,Future-proofed bifurcated task-force,274,Non-Fiction,3/18/2018,40.63,13
113,Cloned client-driven model,392,Fiction,1/28/2015,43.77,28
114,Monitored encompassing focus group,205,Fantasy,5/23/2024,21.37,29
115,Universal scalable frame,229,Fiction,1/27/2015,35.03,51
116,Enterprise-wide discrete orchestration,337,Science Fiction,7/7/2024,44.02,98
117,Future-proofed zero administration utilization,286,Science Fiction,9/24/2016,34.22,51
118,Enterprise-wide zero-defect encoding,696,Mystery,7/20/2016,20.56,3
119,Enhanced leadingedge methodology,119,Science Fiction,11/24/2022,13.85,33
120,Multi-layered client-server task-force,40,Fiction,6/4/2020,32.24,44
121,Persistent hybrid solution,747,Science Fiction,3/11/2019,25.19,65
122,Inverse fault-tolerant circuit,119,Fantasy,6/22/2020,45.57,24
123,Persistent encompassing knowledge user,261,Fiction,7/26/2022,37.18,0
124,Future-proofed bottom-line utilization,533,Mystery,6/18/2020,36.21,94
125,Enterprise-wide zero tolerance monitoring,755,Romance,4/14/2024,14.66,55
126,Proactive transitional Local Area Network,72,Romance,1/28/2024,46.5,79
127,Digitized high-level process improvement,322,Romance,8/14/2019,43.3,92
128,Total zero administration core,308,Mystery,10/17/2015,19.6,52
129,Multi-tiered systemic capability,335,Fantasy,5/27/2018,36.67,70
130,Universal dynamic Graphic Interface,131,Non-Fiction,12/18/2017,24.49,48
131,De-engineered 24/7 capacity,694,Romance,1/24/2017,45.71,78
132,Optimized neutral software,583,Science Fiction,7/4/2015,23.86,0
133,Advanced intermediate open system,312,Science Fiction,10/20/2014,15.24,100
134,Progressive maximized help-desk,594,Mystery,1/2/2020,34.8,59
135,Focused maximized monitoring,453,Fantasy,1/10/2023,35.72,65
136,Object-based user-facing contingency,485,Romance,3/5/2019,13.46,10
137,Ergonomic global synergy,291,Mystery,7/14/2023,35.2,79
138,Distributed demand-driven extranet,344,Fiction,12/17/2022,42,96
139,Enterprise-wide fault-tolerant ability,241,Romance,1/7/2020,19.65,25
140,Triple-buffered next generation collaboration,151,Fiction,12/23/2020,8.02,60
141,Organic responsive synergy,626,Fiction,9/20/2016,26.03,80
142,Centralized executive ability,590,Non-Fiction,12/20/2022,37.6,49
143,Decentralized methodical functionalities,507,Fantasy,2/18/2019,16.73,83
144,Multi-tiered motivating matrix,705,Fiction,9/29/2020,45.27,98
145,Reactive responsive toolset,110,Fantasy,4/5/2024,15.62,89
146,Cross-platform didactic knowledge user,531,Fantasy,12/22/2020,8.2,31
147,Sharable asymmetric knowledge user,125,Fantasy,3/24/2020,11.86,59
148,Self-enabling analyzing database,684,Mystery,4/24/2019,49.46,76
149,Self-enabling hybrid neural-net,325,Fantasy,1/20/2020,32.95,92
150,Horizontal optimizing standardization,517,Fantasy,9/28/2016,42.54,70
151,Managed uniform budgetary management,457,Non-Fiction,1/1/2015,38.71,60
152,Balanced zero administration moratorium,461,Science Fiction,12/23/2017,39.07,81
153,Horizontal zero tolerance framework,284,Mystery,3/14/2018,27.31,30
154,Front-line web-enabled matrix,282,Fantasy,5/29/2021,9.4,36
155,Function-based system-worthy software,241,Science Fiction,7/29/2024,20.77,69
156,Automated coherent pricing structure,83,Non-Fiction,12/28/2015,12.63,49
157,Object-based zero tolerance matrix,711,Non-Fiction,11/3/2023,37.07,8
158,Universal dynamic algorithm,425,Fantasy,3/2/2016,20.55,59
159,Organic impactful concept,426,Fiction,8/29/2019,15.09,53
160,Synergistic demand-driven Graphic Interface,399,Mystery,7/20/2019,47.62,2
161,Realigned background utilization,784,Mystery,10/19/2014,22.73,0
162,Reactive optimizing task-force,361,Science Fiction,3/20/2017,39.14,53
163,Object-based secondary Local Area Network,552,Romance,3/19/2021,38.31,77
164,Upgradable bi-directional encoding,226,Fantasy,7/22/2024,15.64,55
165,Reverse-engineered 5thgeneration knowledgebase,498,Fiction,7/27/2017,23.1,85
166,Stand-alone incremental throughput,696,Fantasy,4/7/2017,37.85,59
167,Operative asymmetric infrastructure,131,Mystery,10/23/2019,29.49,50
168,Inverse discrete capability,607,Mystery,3/22/2017,35.16,10
169,Visionary background product,659,Fantasy,12/22/2019,11.96,59
170,Synergistic optimizing portal,187,Fiction,8/17/2020,17.44,41
171,Advanced contextually-based pricing structure,217,Fantasy,6/11/2017,20.37,97
172,Triple-buffered responsive middleware,389,Science Fiction,1/30/2018,39.08,53
173,Automated executive product,259,Fiction,4/10/2022,26.68,95
174,Devolved web-enabled methodology,553,Fiction,4/14/2017,49.99,44
175,Organic web-enabled orchestration,230,Romance,12/1/2015,9.01,83
176,Fully-configurable 5thgeneration access,42,Fiction,1/9/2018,47.77,25
177,Persistent motivating circuit,21,Mystery,3/9/2015,12.69,16
178,Organized clear-thinking customer loyalty,485,Romance,5/8/2024,11.02,27
179,Cross-platform optimizing product,477,Romance,7/26/2019,17.26,47
180,Vision-oriented high-level superstructure,172,Mystery,5/14/2015,32.71,95
181,Optimized asynchronous productivity,736,Fiction,4/25/2019,40.21,20
182,Exclusive client-server middleware,319,Fiction,11/29/2020,31.45,39
183,Virtual systemic structure,590,Romance,1/10/2020,45.94,48
184,Multi-tiered mission-critical product,407,Romance,1/10/2022,14.72,75
185,Mandatory logistical collaboration,708,Romance,7/10/2021,16.68,89
186,Balanced solution-oriented encoding,792,Science Fiction,3/31/2022,43.4,76
187,Upgradable dynamic attitude,825,Fiction,4/27/2017,41.02,72
188,Horizontal logistical frame,802,Fiction,5/25/2023,21.27,54
189,Streamlined content-based superstructure,678,Science Fiction,10/19/2016,9.02,82
190,Integrated 24hour data-warehouse,350,Fiction,7/17/2018,43.37,62
191,Grass-roots actuating database,109,Fantasy,3/15/2019,48.26,81
192,Reactive regional project,471,Romance,9/22/2020,12.72,22
193,Open-source transitional leverage,752,Mystery,3/13/2022,48.47,34
194,Persevering local encryption,631,Mystery,7/27/2020,40.07,59
195,Focused leadingedge instruction set,447,Romance,4/30/2016,32.06,41
196,Diverse even-keeled installation,252,Fiction,1/26/2018,18.26,57
197,Fully-configurable system-worthy pricing structure,250,Fantasy,5/3/2022,31.06,85
198,Mandatory human-resource emulation,389,Science Fiction,8/28/2023,7.25,41
199,Multi-tiered coherent database,187,Fantasy,11/15/2019,15.32,33
200,Seamless composite info-mediaries,349,Science Fiction,10/15/2017,44.72,89
201,Proactive intermediate array,283,Mystery,4/5/2024,6.44,24
202,Total empowering model,88,Non-Fiction,1/16/2023,37.67,62
203,Quality-focused incremental synergy,569,Non-Fiction,4/15/2024,36.38,82
204,Quality-focused executive framework,729,Fantasy,9/22/2019,25.71,2
205,Upgradable 24/7 moratorium,96,Science Fiction,7/15/2019,15.74,88
206,Implemented bandwidth-monitored intranet,250,Science Fiction,6/19/2024,35.2,47
207,Optimized directional implementation,485,Mystery,11/6/2023,29.35,54
208,Open-architected demand-driven leverage,764,Mystery,10/5/2014,20.54,89
209,Function-based next generation application,465,Science Fiction,10/2/2016,19.48,29
210,Virtual 3rdgeneration protocol,124,Romance,4/10/2022,14.46,15
211,Organic national Graphic Interface,761,Mystery,3/9/2021,47.83,88
212,Diverse static product,190,Non-Fiction,12/1/2021,15.51,61
213,Versatile exuding attitude,284,Romance,6/17/2021,31.93,97
214,Ameliorated tertiary website,538,Mystery,6/27/2021,18.44,12
215,Multi-layered impactful portal,199,Science Fiction,11/27/2015,16,22
216,Configurable disintermediate attitude,310,Fiction,6/22/2023,37.14,16
217,Virtual clear-thinking open architecture,281,Fiction,7/13/2022,48.86,70
218,Adaptive neutral conglomeration,300,Romance,7/27/2017,47.53,81
219,Inverse user-facing structure,771,Fantasy,8/14/2020,10.5,1
220,Open-source scalable leverage,588,Science Fiction,6/27/2020,26.64,56
221,Profound even-keeled alliance,349,Non-Fiction,3/24/2022,48.47,32
222,Focused leadingedge Graphical User Interface,490,Fiction,9/13/2021,42.16,51
223,Realigned bandwidth-monitored approach,504,Fiction,6/22/2018,31.38,87
224,Advanced zero-defect moderator,55,Non-Fiction,9/14/2023,12.55,72
225,Upgradable dedicated strategy,312,Fiction,10/19/2022,49.72,15
226,Centralized reciprocal installation,572,Fantasy,12/4/2022,32.67,79
227,Robust solution-oriented hardware,232,Mystery,5/4/2016,22.73,56
228,Innovative upward-trending concept,305,Mystery,11/28/2022,49.55,39
229,Ameliorated leadingedge productivity,583,Mystery,10/10/2016,8.64,94
230,Assimilated exuding adapter,102,Non-Fiction,7/2/2023,33.51,33
231,Persevering attitude-oriented open architecture,677,Fiction,10/22/2023,12.9,22
232,Integrated full-range info-mediaries,566,Fiction,9/19/2022,12.88,52
233,Enhanced zero administration analyzer,462,Romance,3/24/2019,32.12,37
234,Fundamental mission-critical conglomeration,34,Non-Fiction,5/18/2024,18.67,36
235,Intuitive bifurcated focus group,720,Fantasy,7/8/2016,9.12,29
236,Centralized value-added solution,271,Romance,4/23/2020,31.94,25
237,Seamless systemic contingency,436,Fiction,7/3/2021,29.95,82
238,Triple-buffered multimedia toolset,153,Science Fiction,10/6/2021,42.36,9
239,Polarized holistic initiative,62,Non-Fiction,8/22/2023,40.87,76
240,Automated discrete contingency,767,Mystery,8/5/2022,46.52,56
241,Mandatory object-oriented open architecture,128,Fantasy,10/4/2016,36.29,89
242,User-centric mission-critical Internet solution,413,Science Fiction,2/10/2020,28.01,63
243,Persevering disintermediate installation,449,Fiction,3/8/2019,32.3,55
244,Compatible object-oriented frame,753,Science Fiction,7/21/2024,32.55,3
245,Optional explicit secured line,94,Non-Fiction,12/23/2021,48.31,73
246,Devolved impactful projection,602,Fiction,5/16/2021,49.97,86
247,User-friendly grid-enabled knowledgebase,276,Mystery,11/21/2018,7.76,96
248,Phased upward-trending moderator,180,Fantasy,10/19/2019,28.82,56
249,Upgradable full-range application,285,Non-Fiction,6/16/2020,49.86,55
250,Open-source bifurcated model,651,Fantasy,6/3/2022,48.63,60
251,Proactive explicit moratorium,357,Fantasy,1/8/2018,20.66,85
252,Realigned impactful functionalities,108,Non-Fiction,8/25/2017,20.5,88
253,Operative coherent system engine,508,Science Fiction,5/28/2019,35.14,51
254,Object-based national standardization,779,Mystery,6/8/2020,7.6,11
255,De-engineered multimedia moratorium,323,Science Fiction,10/17/2020,20.21,98
256,Re-contextualized impactful concept,414,Mystery,4/18/2019,42.29,0
257,Virtual next generation hardware,674,Mystery,2/28/2019,26.32,6
258,Self-enabling non-volatile policy,193,Mystery,10/22/2017,21.91,96
259,User-friendly 3rdgeneration Local Area Network,511,Romance,8/18/2023,25.44,6
260,Grass-roots hybrid support,209,Science Fiction,10/29/2021,30.16,36
261,Multi-lateral uniform monitoring,449,Romance,12/8/2018,27.32,3
262,Cloned asynchronous hierarchy,646,Mystery,6/11/2019,41.16,90
263,Down-sized clear-thinking ability,163,Science Fiction,2/27/2016,30.23,70
264,Polarized web-enabled product,418,Fiction,3/13/2024,15.88,14
265,Customer-focused national encoding,473,Fiction,4/1/2021,34.49,19
266,Object-based system-worthy concept,511,Romance,9/27/2017,18.83,90
267,Customer-focused motivating interface,280,Fantasy,8/23/2016,42.72,60
268,Enhanced optimal flexibility,250,Fantasy,3/29/2022,30.25,49
269,Inverse multi-tasking task-force,196,Mystery,7/26/2021,28.35,17
270,Object-based homogeneous infrastructure,72,Science Fiction,7/18/2015,39.99,53
271,Enhanced exuding leverage,349,Mystery,1/18/2016,17.75,0
272,Innovative zero-defect matrix,290,Romance,8/7/2022,19.13,75
273,Robust 24/7 conglomeration,594,Romance,1/18/2023,27.53,19
274,Proactive value-added initiative,458,Mystery,4/10/2023,27.3,42
275,Persistent high-level database,566,Mystery,8/2/2022,22.59,41
276,Optimized multi-tasking Graphic Interface,194,Romance,3/26/2021,16.5,49
277,Future-proofed directional parallelism,240,Fantasy,7/24/2016,7.91,95
278,Cloned systemic knowledgebase,485,Romance,7/29/2021,46.18,48
279,Implemented scalable pricing structure,396,Romance,11/3/2020,40.86,83
280,Compatible client-driven structure,156,Fantasy,3/14/2023,48.44,16
281,Proactive asynchronous capability,515,Mystery,9/21/2022,20.6,12
282,Quality-focused contextually-based productivity,451,Fiction,8/19/2019,29.13,58
283,Vision-oriented 5thgeneration matrices,16,Romance,9/12/2014,12.33,83
284,Fundamental national moratorium,159,Fiction,10/7/2015,26.65,33
285,Networked executive focus group,347,Mystery,6/5/2019,36.47,83
286,Compatible 24/7 collaboration,83,Science Fiction,6/14/2019,43.49,68
287,Multi-lateral reciprocal infrastructure,390,Science Fiction,8/9/2023,33.57,97
288,Innovative mobile emulation,500,Mystery,7/16/2021,7.57,8
289,Implemented neutral strategy,241,Romance,3/14/2016,36.1,36
290,Visionary client-server framework,233,Romance,3/10/2016,9.97,12
291,Programmable homogeneous knowledge user,779,Romance,12/14/2017,36.96,12
292,Configurable neutral productivity,455,Non-Fiction,1/9/2018,36.53,3
293,Monitored real-time Internet solution,48,Science Fiction,8/26/2020,41.02,37
294,Fundamental non-volatile secured line,368,Science Fiction,2/25/2022,24.94,31
295,Ameliorated executive framework,544,Fantasy,8/5/2022,30.89,23
296,Advanced interactive success,175,Non-Fiction,7/16/2016,9.46,48
297,Cross-platform intermediate pricing structure,635,Romance,12/23/2019,16.59,74
298,Enhanced real-time application,147,Non-Fiction,7/23/2022,26.28,32
299,Team-oriented needs-based architecture,471,Science Fiction,2/12/2023,35.33,59
300,User-centric systemic monitoring,295,Romance,10/31/2018,30.04,9
301,Organic transitional intranet,453,Science Fiction,1/4/2024,49.45,38
302,Persevering mission-critical workforce,655,Fantasy,2/27/2020,36.36,58
303,Persevering even-keeled middleware,310,Non-Fiction,12/4/2015,49.96,61
304,Organic exuding intranet,110,Non-Fiction,2/20/2022,22.77,45
305,Team-oriented coherent interface,589,Science Fiction,4/18/2015,49.67,37
306,Pre-emptive mobile functionalities,23,Romance,10/31/2015,23.41,1
307,Organic dynamic initiative,580,Romance,1/24/2016,40.24,6
308,Self-enabling bandwidth-monitored paradigm,621,Romance,5/13/2024,27.85,36
309,Integrated multimedia moderator,795,Non-Fiction,2/22/2019,32.7,45
310,Multi-tiered fault-tolerant artificial intelligence,225,Romance,11/7/2016,14.36,32
311,Profit-focused asynchronous array,695,Romance,4/23/2017,39.76,87
312,Decentralized human-resource interface,141,Romance,5/11/2021,10.27,80
313,Total dynamic flexibility,662,Fiction,10/23/2014,19.58,56
314,Exclusive 4thgeneration paradigm,35,Mystery,2/10/2015,22.04,16
315,Secured client-driven info-mediaries,93,Science Fiction,1/17/2017,20.37,53
316,User-centric zero administration help-desk,180,Non-Fiction,1/11/2023,11.81,69
317,Focused motivating workforce,375,Mystery,12/10/2021,28.07,34
318,Reactive non-volatile focus group,169,Science Fiction,12/7/2014,46.21,61
319,Sharable intermediate policy,826,Science Fiction,4/30/2016,38.84,43
320,Organized content-based database,824,Fiction,9/9/2023,26.6,9
321,Expanded multimedia customer loyalty,145,Non-Fiction,5/19/2022,43.84,92
322,Extended modular infrastructure,691,Fantasy,5/21/2017,48.55,71
323,Fully-configurable needs-based artificial intelligence,375,Fiction,8/25/2019,40.78,1
324,Universal dynamic ability,271,Mystery,6/1/2018,11.43,47
325,Re-engineered mission-critical contingency,689,Romance,1/8/2024,35.57,74
326,Visionary clear-thinking archive,391,Romance,11/11/2023,47.36,13
327,Managed grid-enabled intranet,692,Non-Fiction,8/28/2015,26.73,79
328,Innovative modular standardization,575,Science Fiction,11/16/2020,46.26,28
329,Profit-focused responsive firmware,664,Fiction,5/28/2015,33.95,59
330,Versatile analyzing matrices,718,Science Fiction,10/16/2018,34.56,14
331,Multi-tiered dedicated capability,144,Fiction,5/6/2018,47.63,38
332,Balanced dynamic Internet solution,505,Fiction,8/27/2023,10.27,68
333,Reduced high-level conglomeration,139,Fantasy,1/4/2023,25.95,85
334,Proactive tertiary portal,761,Romance,5/4/2015,47.61,53
335,Reduced stable structure,602,Romance,9/21/2015,37.96,53
336,Persevering asymmetric neural-net,671,Fiction,8/31/2020,42.67,78
337,Extended client-driven algorithm,418,Science Fiction,4/6/2024,7.43,47
338,Balanced directional monitoring,223,Fantasy,11/19/2017,25.56,30
339,De-engineered intangible functionalities,372,Fiction,3/5/2022,49.15,47
340,Triple-buffered value-added Graphic Interface,558,Romance,5/2/2020,21.77,50
341,Object-based explicit orchestration,283,Non-Fiction,11/17/2017,48.59,58
342,Face-to-face dynamic firmware,94,Romance,11/8/2023,15.32,81
343,Business-focused dynamic array,612,Fiction,1/19/2019,8.22,42
344,Devolved systematic process improvement,250,Non-Fiction,3/30/2022,40.62,26
345,Virtual mission-critical attitude,71,Mystery,7/26/2019,15.1,27
346,Mandatory neutral solution,239,Science Fiction,3/29/2017,40.06,100
347,Programmable scalable architecture,611,Fiction,3/31/2022,18.19,18
348,Cross-group foreground Graphical User Interface,134,Mystery,3/27/2019,17.02,22
349,Horizontal optimal website,113,Romance,2/8/2022,44.11,16
350,Customer-focused heuristic workforce,16,Science Fiction,7/14/2023,40.75,30
351,De-engineered solution-oriented matrices,603,Science Fiction,10/29/2019,6.68,33
352,Distributed systemic matrices,54,Non-Fiction,3/26/2015,38.63,67
353,Quality-focused responsive throughput,117,Romance,3/19/2015,8.79,57
354,Customer-focused object-oriented installation,797,Science Fiction,7/30/2019,28.57,13
355,Integrated eco-centric matrices,463,Mystery,5/26/2015,15.74,78
356,Intuitive solution-oriented hardware,45,Romance,12/10/2015,40.45,84
357,Sharable user-facing artificial intelligence,534,Science Fiction,5/20/2016,26.14,3
358,Grass-roots 3rdgeneration parallelism,63,Fantasy,7/1/2017,43.27,54
359,Multi-lateral executive hardware,703,Fiction,2/4/2020,27.56,56
360,Business-focused bi-directional initiative,76,Fiction,5/16/2018,20.16,18
361,Re-engineered upward-trending policy,68,Non-Fiction,7/6/2022,18.09,81
362,Triple-buffered human-resource utilization,600,Mystery,2/2/2022,37.32,48
363,Enhanced foreground moderator,612,Mystery,4/15/2015,18.97,64
364,Multi-tiered discrete interface,620,Fantasy,5/13/2017,10.35,89
365,Streamlined neutral challenge,118,Romance,4/20/2016,34.63,98
366,Synergistic mission-critical paradigm,565,Romance,7/12/2017,44.07,55
367,Integrated disintermediate policy,463,Non-Fiction,3/1/2018,24.2,58
368,Cross-platform multi-state utilization,409,Fantasy,1/13/2024,38.09,40
369,Open-source high-level leverage,438,Science Fiction,10/9/2023,35.25,47
370,Object-based radical capacity,157,Romance,12/21/2014,46.6,8
371,Organic zero administration matrices,94,Fiction,5/8/2019,10.09,12
372,Seamless multimedia software,763,Romance,1/29/2019,22.39,16
373,Optimized homogeneous function,570,Fiction,12/15/2021,31.79,71
374,Object-based systematic solution,576,Science Fiction,1/25/2018,35.47,52
375,Switchable even-keeled conglomeration,363,Romance,4/6/2018,47.4,54
376,Fundamental optimizing circuit,739,Fiction,12/15/2023,48.6,76
377,Expanded well-modulated conglomeration,320,Science Fiction,8/28/2022,10.55,64
378,Balanced attitude-oriented hub,218,Non-Fiction,11/29/2020,34.89,28
379,Proactive system-worthy policy,111,Science Fiction,8/25/2023,43.19,47
380,Enterprise-wide multimedia extranet,118,Science Fiction,9/28/2021,31.25,54
381,Monitored solution-oriented Local Area Network,575,Mystery,7/22/2018,32.99,82
382,Pre-emptive even-keeled algorithm,571,Fiction,7/21/2020,32.79,84
383,Switchable non-volatile monitoring,711,Science Fiction,3/27/2020,7.26,34
384,Ergonomic national middleware,720,Science Fiction,5/24/2018,46.54,44
385,Expanded didactic system engine,7,Non-Fiction,5/2/2023,44.26,72
386,Configurable analyzing encoding,674,Fantasy,3/17/2023,9.05,94
387,Pre-emptive zero administration parallelism,649,Fiction,8/11/2021,10.03,67
388,Re-contextualized hybrid architecture,221,Fantasy,11/23/2023,24.46,43
389,Proactive disintermediate superstructure,162,Science Fiction,1/16/2024,19.7,41
390,Persevering 3rdgeneration capability,796,Mystery,1/14/2017,32.22,6
391,Right-sized tangible utilization,160,Non-Fiction,5/16/2024,39.19,6
392,Distributed user-facing project,691,Fiction,2/28/2015,17.96,84
